FILE INFORMATION HEADING


@Begin
@Participants:		CHI: 0821; MOM
@Filename:	XS_0821_transcript
@Age of CHI:	 7.5
@Date of Test: XXX
@Activities:	XXX
@Transcribed by:	GMRTrans; Checked by LS; Date:  XXX
%com:	TRANSCRIPTION BEGINS
%com:	***********************************


*MOT:	what’s this?
*MOT:	what’s this?
*MOT:	what’s this?
*MOT:	ball look at the ball.
*MOT:	ball yeah.
%com:	mother gasps.
(00:00:30) *MOT:	look at the ball.
*MOT:	yeah bouncybouncy.
*MOT:	bouncybouncy.
%com:	mother gasps.
*MOT:	oh.
*MOT:	purple ball hey.
*MOT:	ooh.
%com:	noises from ball bouncing.
*MOT:	ooh.
%com:	mother gasps.
*MOT:	ready?
*MOT:	bouncebouncebounce.
(00:01:00) *MOT:	oh look at that.
*MOT:	oh do you like that?
%com:	mother laughs.
*MOT:	why don’t you try something else?
*MOT:	ooh car.
*MOT:	vroomvroomvroomvroom.
*MOT:	squeaky.
*MOT:	need to oil it.
%com:	mother gasps.
*MOT:	ooh.
*MOT:	here’s that smiley face.
(00:01:30) *MOT:	smiley face look.
%com:	mother gasps.
*MOT:	look.
*MOT:	it’s a happy car.
*MOT:	ooh [xxx].
*MOT:	it’s a happy car.
%com:	mother gasps.
*MOT:	[xxx].
*MOT:	squeaksqueak.
(00:02:00) *MOT:	ooh.
%com:	mother laughs.
*MOT:	[xxx].
*MOT:	[xxx] car.
*MOT:	vroomvroom.
*CHI:	[xxx].
*MOT:	yeah.
%com:	mother laughs.
*MOT:	squeaksqueak.
(00:02:30) *MOT:	oh.
*MOT:	look at this thing oh.
*MOT:	who is it?
*MOT:	what is it?
*MOT:	it’s a zem.
*MOT:	[xxx].
*MOT:	that feels funny.
%com:	mother laughs.
*MOT:	and I’m squishy.
*MOT:	zem.
*MOT:	you like it.
*MOT:	it’s like [xxx] of the sea isn’t it [xxx]?
(00:03:00) *MOT:	sea urchin something.
%com:	mother laughs.
*MOT:	[xxx] it’s nice and soft.
%com:	mother laughs.
*MOT:	zem.
*MOT:	yeah.
*MOT:	[xxx].
*MOT:	let’s find you something else.
*MOT:	how about this?
(00:03:30) *MOT:	it’s manu.
*MOT:	let’s have a look at then then.
*MOT:	[xxx] what do you think of the manu?
%com:	noises from toy.
*MOT:	[xxx].
%com:	noises from toy.
*MOT:	do you like the manu?
%com:	noises from toy.
%com:	mother laughs.
*MOT:	you like watching it move around hey?
(00:04:00) *MOT:	let’s see what it does there.
*MOT:	[xxx].
%com:	noises from toy.
*MOT:	[xxx] fingers wedged in there.
*MOT:	whoop.
%com:	mother laughs.
*MOT:	want to choose something else from the box?
(00:04:30) *MOT:	how about that?
*MOT:	oh.
*MOT:	prickly.
*MOT:	brush.
*MOT:	brush.
%com:	mother gasps.
*MOT:	isn’t it.
*MOT:	[xxx] prickles.
*MOT:	[xxx] you go.
*MOT:	mind your eyes.
%com:	noises of brushing.
%com:	mother laughs.
*MOT:	the brush.
(00:05:00) *MOT:	do you feel?
*MOT:	hmm.
*CHI:	[xxx].
*MOT:	do you feel?
%com:	mother hums.
%com:	noises of brushing.
*MOT:	hmm.
*CHI:	[xxx].
*MOT:	how does it feel on your feet and your [xxx]?
%com:	child blows raspberries.
%com:	mother laughs.
*MOT:	that’s what you think of it is it?
%com:	mother laughs.
%com:	child blows raspberries.
*MOT:	yeah.
(00:05:30) *MOT:	which one do you like best?
*MOT:	oh got another one.
*MOT:	let’s have a look at this.
*MOT:	oh a different one there.
*MOT:	what’s this?
*MOT:	this is a tima.
*MOT:	do you like the tima?
*MOT:	ah look.
*MOT:	tima’s good.
%com:	noises from toy. 
(00:06:00) *MOT:	let’s look at the tima.
*MOT:	hmm.
*MOT:	[xxx].
%com:	mother laughs.
*MOT:	straight to mouth that one.
*MOT:	[xxx].
%com:	mother laughs.
(00:06:30) *MOT:	oh.
*MOT:	oh my you like zem hey?
*MOT:	you like zem?
%com:	mother makes noises.
*MOT:	[xxx] wobbly bits on it.
%com:	noises from toy.
*MOT:	oh.
%com:	mother laughs.
*MOT:	hey tickletickletickletickle.
*MOT:	tickle the nose and tickle your toes.
(00:07:00) %com:	mother gasps.
*MOT:	what do you want next?
*MOT:	what would you like?
*MOT:	what would you choose the ball?
*MOT:	do you want to go for that?
*MOT:	[xxx] that?
*MOT:	yeah okay.
*MOT:	bouncy.
*MOT:	I think I can put them all out.
*MOT:	see which one you want to go for.
(00:07:30) %com:	noises from toys.
*MOT:	tima.
%com:	mother laughs.
*CHI:	[xxx].
*MOT:	can I see it?
*MOT:	oh.
(00:08:00) *MOT:	[xxx] forwards a bit [xxx].
*MOT:	two eyes.
*MOT:	it’s got two eyes.
*MOT:	vroomvroomvroomvroomvroomvroomvroomvroomvroomvroomvroom.
*MOT:	oh.
%com:	mother laughs.
(00:08:30) *MOT:	you like the ball.
*MOT:	hmm.
*MOT:	oh.
%com:	mother laughs.
*MOT:	timber.
*MOT:	there you go.
%com:	noises of brushing.
(00:09:00) *CHI:	[xxx].
(00:09:30) %com:	mother laughs.
*MOT:	are you getting tired of sitting like this?
*MOT:	it keeps getting away from you that ball isn’t it?
*MOT:	[xxx].
%com:	mother laughs.
*MOT:	you got it?
*CHI:	[xxx].
%com:	mother laughs.
(00:10:00) *MOT:	want to try the car again?
%com:	noises from toy.
*MOT:	let’s move stuff around.
*MOT:	[xxx].
*MOT:	hmm?
(00:10:30) *MOT:	oh.
*MOT:	mhm.
*MOT:	can you get zem?
*MOT:	picking up zem or the brush? *MOT:	the brush.
*MOT:	[xxx] zem [xxx].
(00:11:00) *MOT:	and you got a manu.
*MOT:	hmm.
*MOT:	what’s this?
*MOT:	you got [xxx].
*MOT:	there’s a good sound of it.
*MOT:	[xxx] when you throw it around hey?
*MOT:	how does it feel on your feet?
%com:	noises from toys.
*MOT:	we should oil those wheels hey? 
(00:11:30) *MOT:	they wouldn’t squeak so much.
*CHI:	[xxx].
*MOT:	okay.
*MOT:	can you try the tima?
*MOT:	try tima again.
*MOT:	oh they spin around look at that.
%com:	noises from toy.
*MOT:	[xxx].
*MOT:	what do you think about tima?
*MOT:	hmm?
*MOT:	what do you think of the tima?
(00:12:00) *MOT:	[xxx].
*MOT:	hey.
*MOT:	oh straight to the mouth of course.
*MOT:	that’s what’s it’s good for.
*MOT:	that’s what it’s good for.
%com:	mother laughs.
*MOT:	I don’t know what it’s for.
*MOT:	[xxx].
(00:12:30) *MOT:	something to chew on.
*MOT:	yeah.
*MOT:	something to chew on.
*MOT:	can you do that?
*MOT:	[xxx] twist it.
*MOT:	can you turn the manu.
*MOT:	[xxx] on the manu.
*MOT:	oh.
*CHI:	[xxx].
*MOT:	okay then that’s [xxx].
%com:	mother laughs.
(00:13:00) *CHI:	[xxx].
*MOT:	yeah I know.
*CHI:	[xxx].
%com:	mother laughs.
*MOT:	[xxx] sooky.
*MOT:	sooky.
*MOT:	that manu sooky.
*CHI:	[xxx].
*MOT:	yeah.
*MOT:	[xxx].
(00:13:30) *MOT:	does that tickle your toes?
%com:	mother makes noises.
*MOT:	and tickle your nose.
*MOT:	and then zem tickled your toes and tickle your nose.
%com:	child whines.
*MOT:	what do you want?
*MOT:	are you going for the manu or going for your own toes.
%com:	noises from toy.
(00:14:00) *MOT:	had enough?
*MOT:	you had enough?
*MOT:	no more [xxx] playing or anything.
*MOT:	nothing else.
*CHI:	[xxx].
*CHI:	[xxx].
*MOT:	hmm.
*MOT:	ah back to the tima.
(00:14:30) *MOT:	we have to do tima.
*MOT:	yeah.
%com:	noises from toy.
%com:	child whines.
*MOT:	[xxx] lie down.
*MOT:	lying down.
*MOT:	there you go.
*MOT:	hmm?
(00:15:00) *MOT:	be careful.
%com:	mother gasps.
%com:	mother laughs.
*MOT:	yeah.
*MOT:	I don’t think any[xxx] wants to see me.
%com:	noises from toy.
*MOT:	so what do you think of that now hey?
(00:15:30) *MOT:	hey what do you think of that?
*CHI:	[xxx].
*MOT:	it’s a nice sound isn’t it?
*MOT:	it’s a nice sound.
%com:	mother laughs.
*MOT:	oh.
*MOT:	there we go.
*CHI:	[xxx].
*MOT:	what do you think of that?
%com:	noises from toy.
(00:16:00) %com:	mother laughs.
*MOT:	that’s tima.
*MOT:	got the white bits and it’s got orange there isn’t it?
*CHI:	[xxx].
*MOT:	mhm.
*MOT:	yeah.
*MOT:	hello.
*MOT:	okay.
(00:16:30) *MOT:	she was [xxx] first and a few minutes now she just wants to lie down.
