

@Begin
@Participants:		CHI: ###; MOM
@Filename:	XS_1639_transcript
@Age of CHI:	 15.2
@Date of Test: XXX
@Activities:	XXX
@Transcribed by:	GMRTrans; Checked by LS; Date:  XXX
%com:	TRANSCRIPTION BEGINS
%com:	***********************************



*MOT:	play with toys buddy.
*MOT:	okay.
*MOT:	cool.
*MOT:	come here.
*MOT:	all right.
*MOT:	here let’s see your brush.
%com:	mother gasps.
*MOT:	all right here we go look.
%com:	mother gasps.
*MOT:	[xxx] brush.
%com:	mother gasps.
*MOT:	I tried to brush your hair.
*MOT:	is that to brush your hair?
(:30) *MOT:	let me see.
*MOT:	what is that anna?
*MOT:	is that for brush?
*MOT:	can you brush mama’s hair?
%com:	mother gasps.
*MOT:	oh is that for mommy?
*MOT:	yeah let’s see.
*MOT:	oh you’re brushing your hair.
*MOT:	good job.
*CHI:	dada.
*MOT:	oh you’re thinking about daddy?
*MOT:	oh look at this.
*MOT:	a zem.
*MOT:	mmm.
*MOT:	nice.
*MOT:	 this is a yellow zem.
(1:00) *MOT:	see?
*MOT:	a zem.
*MOT:	you want to see?
*CHI:	all da.
%com:	mother gasps.
*MOT:	oh all done. 
*MOT:	you don’t want this one?
*MOT:	you want to see this instead?
*MOT:	how about?
%com:	mother gasps.
*MOT:	I see your favorite thing.
*MOT:	look at that.
*MOT:	what’s that?
*MOT:	look look.
*MOT:	what is that?
*MOT:	ball.
*MOT:	it’s a purple ball.
*MOT:	so cool.
(1:30) *MOT: purple ball.
%com:	mother gasps.
*MOT:	where’d it go?
%com:	mother laughs.
*MOT:	where’d it go?
*MOT:	what’s in there?
*MOT:	a purple ball.
*CHI:	[xxx].
*MOT:	oh yeah.
*MOT:	you’re thinking about the door.
*MOT:	open the door.
*MOT:	yeah?
*MOT:	yeah I know.
*MOT: 	good thing their doors are taller than ours at home because you can open those can’t you?
*MOT:	hey let’s see.
*MOT:	what else do we have over here?
*MOT:	this is a nice brush.
(2:00) %com:	mother makes brushing noises.
%com:	mother gasps.
*MOT:	[xxx].
*MOT:	what else?
*MOT:	oh [xxx] look.
*MOT:	look it’s a car.
*MOT:	a car.
*MOT:	cool.
*MOT:	a car.
*MOT:	oh wow.
*MOT:	this is a tima.
*MOT:	do you want to see what the car does?
(2:30) %com:	mother makes driving noises.
*MOT:	beepbeep.
*MOT:	a tima.
*MOT:	look.
%com:	mother gasps.
*MOT:	oh.
*MOT:	can you hear?
*MOT:	let’s listen.
%com:	mother gasps.
*MOT:	[xxx].
%com:	mother gasps.
*MOT:	that’s a tima.
%com:	mother whispers.
%com:	mother gasps.
*MOT:	[xxx].
*MOT:	you want to try?
*MOT:	you try.
(3:00) *MOT:	you try.
%com:	mother whispers.
*MOT:	oh you want the brush.
*MOT:	brush.
*MOT:	brush your hair.
*MOT:	brush your hair.
*MOT:	oh.
*MOT:	come here.
*MOT:	let’s see.
*MOT:	let’s see.
%com:	mother whispers.
*MOT:	ready?
*MOT:	look it’s a car.
%com:	mother whispers.
%com:	mother gasps.
*MOT:	here’s a car.
%com:	mother whispers.
*MOT:	ahahahahah.
*MOT:	let’s see.
%com:	mother gasps.
*MOT:	oh no.
(3:30) *MOT:	oh no.
*MOT:	look what I got.
*MOT:	a manu.
%com:	mother gasps.
*MOT:	ready?
*MOT:	no you’re not gonna wear the camera?
%com:	mother giggles.
*MOT:	look what I got.
*MOT:	uhoh.
*MOT:	uhoh.
(4:00) *MOT:	ohohohoh.
%com:	mother laughs.
*MOT:	[xxx].
*MOT:	let’s put.
*MOT:	let’s look at your brush you have.
*MOT:	let’s look at the brush you have.
%com:	mother whispers.
*MOT:	look at this.
*MOT:	oh a manu.
*MOT:	[xxx].
*MOT:	you do it.
*MOT:	you do it.
*CHI:	[xxx].
(4:30) *MOT:	[xxx].
*MOT:	wow.
*MOT:	manu.
*MOT:	[xxx].
%com:	mother gasps.
*MOT: what’s in there?
%com:	mother whispers.
*MOT:	the wheels on the bus go round and round.
%com:	mother sings.
*MOT:	round and round round and round the wheels on the bus go round and round all through the town.
%com:	mother sings.
%com:	mother gasps.
*MOT:	oh.
*MOT:	did you get it?
(4:59) *MOT:	the wheels on the bus go round and round round and round round and round the wheels on the bus go round and round all through the town.
%com:	mother sings.
*MOT:	whew.
*MOT:	oh let’s get the ball.
%com:	mother whispers.
*MOT:	let’s get the ball.
%com:	mother whispers.
*MOT:	ball.
*MOT:	ball and the manu.
*MOT:	can you do it?
*MOT:	the wheels on the bus go round and round round and round round and round.
%com:	mother sings.
(5:30) *MOT:	what happened?
*MOT:	oh you still want to play with the brush.
*MOT:	[xxx].
*CHI:	[xxx].
*MOT:	[xxx] say open the door but not yet.
*MOT:	oh.
*MOT:	[xxx].
*MOT:	here’s this.
*MOT:	look.
*MOT:	oh.
*MOT:	[xxx].
*MOT:	let’s see.
%com:	mother gasps.
*MOT:	what’s in there?
%com:	mother gasps.
*MOT:	[xxx].
*MOT:	oh this tima is funny.
*MOT:	funny tima.
*MOT:	what is that?
(6:00) *CHI:	dada.
%com:	mother gasps.
*MOT:	what’s that?
*MOT:	is that a camera?
*MOT:	you know what I see?
*MOT:	I see a ball.
%com:	mother whispers.
%com:	mother gasps.
*MOT:	can you get it?
*MOT:	get the ball.
*MOT:	can you throw the ball to mama?
*MOT:	throw the ball to mommy.
%com:	mother giggles.
*MOT:	throw the ball to mama.
(6:30) *MOT:	you’re gonna do brush for mama?
*MOT:	brush mama’s hair.
*MOT:	oh you got me.
%com:	mother laughs.
*MOT:	can you get the ball?
*MOT:	you see the ball?
%com:	mother whispers.
*MOT:	I’m gonna get you get you.
*CHI:	dada.
%com:	mother gasps.
*MOT:	you’re ready to go to the door?
*MOT:	can you say open door?
*MOT:	but not yet.
(7:00) *MOT:	maybe you can go get the purple ball.
*MOT:	purple ball.
*MOT:	purple ball.
*MOT:	you can brush your hair.
%com:	mother gasps.
*MOT:	brush mama’s hair.
*MOT:	there you go.
%com:	mother whispers.
*MOT:	brushbrush.
*MOT:	brushbrush.
*MOT:	brushbrush.
*CHI:	[xxx].
%com:	mother gasps.
*MOT:	that’s a camera.
*MOT:	oh my.
%com:	mother gasps.
*MOT:	oh.
(7:30) *MOT:	careful.
%com:	mother gasps.
*MOT:	oh.
*MOT:	oh.
*MOT:	this is a zem.
%com:	mother gasps.
%com:	mother makes buzzing noises.
%com:	mother laughs.
*MOT:	yeah [xxx].
*MOT:	is that funny?
*MOT:	do you like the zem?
*MOT:	yeah.
*MOT:	oh on your face yeah good job you did it with the yellow zem.
%com:	mother gasps.
*MOT:	oh.
(8:00) *MOT:	what’s this?
*MOT:	this is purple.
*MOT:	can you say purple?
*CHI:	purple.
*MOT:	purple that’s right.
*MOT:	oh that’s the brush.
*MOT:	yeah good job.
%com:	mother whispers.
%com:	mother gasps.
*MOT:	big girl on the pillow.
*MOT:	be careful.
*MOT:	whoa.
*CHI:	night.
*MOT:	oh night night.
*MOT: 	night night.
%com:	mother makes snoring sounds.
(8:30) *MOT:	night night.
%com:	mother laughs.
*MOT:	night night.
*MOT:	you silly.
*MOT:	oh my gosh.
*MOT:	you’re gonna go to sleep?
%com:	mother makes buzzing noises.
*MOT:	the car got you.
%com:	mother makes buzzing noises.
*MOT:	the car got you.
*MOT:	what are you doing?
*MOT:	you still have the brush huh?
(9:00) *MOT:	is that your favorite one?
*MOT:	hey look I got the zem that goes [xxx].
%com:	mother whispers.
*MOT:	looklook here [xxx].
%com:	mother whispers.
*MOT:	ooh can you get it?
*MOT:	can you get it?
%com:	mother gasps.
*MOT:	can you get it?
*MOT:	oh no.
*MOT:	oh no.
*MOT:	let’s get the zem.
%com:	mother gasps.
%com:	mother makes buzzing noises.
%com:	mother gasps.
%com:	mother makes buzzing noises.
%com:	mother gasps.
%com:	mother makes buzzing noises.
*MOT:	here you go.
%com:	mother whispers.
(9:30) *CHI:	da.
*MOT:	door.
*MOT:	yeah that’s the door.
*MOT:	can you get the ball?
*MOT:	where’s our ball?
*CHI:	night night.
*MOT:	oh nightnight.
*MOT:	you had another idea.
%com:	mother gasps.
*MOT:	nightnight.
*MOT:	nightnight everybody.
*MOT:	use your zem.
%com:	mother makes snoring noises.
*CHI:	nightnight.
*MOT:	nightnight.
(10:00) %com:	mother laughs.
*MOT:	[xxx].
*CHI:	night night.
*MOT:	oh night night.
*MOT:	you’re practicing nightnight?
*MOT:	oh nightnight.
*MOT:	okay nightnight.
*MOT:	nightnight.
%com:	mother gasps.
*MOT:	what’s that?
*MOT:	can you get the other toy?
*MOT:	uhoh.
*MOT:	uhoh.
%com:	mother laughs.
*MOT:	is this for mama?
*MOT:	this for mommy.
*MOT:	let’s see can you play with the car for a second?
(10:30) *MOT:	come here.
*MOT:	come here that’s a box.
*MOT:	that’s the box.
*MOT:	oh what’s this?
%com:	mother gasps.
*MOT:	[xxx].
%com:	mother gasps.
*MOT:	are you kicking your legs?
*MOT:	can you kick your legs?
*MOT:	why don’t you oh you stomp your feet.
*MOT:	yeah stomp your feet stomp your feet.
*CHI:	da.
(11:00) %com:	mother gasps.
*MOT:	stomp your feet stomp your feet.
%com:	mother gasps.
*MOT:	let’s get the ball.
*MOT:	I’m gonna get the purple ball.
*MOT:	get it.
%com:	mother gasps.
*MOT:	I’m gonna get the ball.
%com:	mother gasps.
*MOT:	I’m gonna get the ball.
*MOT:	get it get it.
*MOT:	I’m gonna get it.
*MOT:	I’m gonna get it.
*MOT:	got it.
%com:	mother gasps.
*MOT:	where’d the ball go?
*CHI:	child giggles.
*MOT:	where’d the ball go?
*MOT:	oh.
*MOT:	ball.
*MOT:	[xxx].
(11:30) *CHI:	night night.
*MOT:	oh night night.
*MOT:	night night.
*MOT:	oh look.
*MOT:	where’s the ball?
*MOT:	where’s the ball?
*MOT:	there it is.
%com:	mother gasps.
*MOT:	where’d it go?
*MOT:	where’s the ball?
*MOT:	oh there it is.
*CHI:	ball.
*MOT:	ball.
%com:	mother gasps.
(12:00) *MOT:	there it is.
%com:	mother gasps.
*MOT:	oh.
*MOT:	[xxx].
%com:	mother gasps.
*MOT:	[xxx].
*MOT:	oh.
*MOT:	got you.
%com:	mother gasps.
*MOT:	tima.
*MOT:	got you.
*MOT:	[xxx].
*MOT:	oh that’s right.
*MOT:	[xxx].
(12:30) %com:	child laughs.
*MOT:	oh the tima.
*MOT:	how fun.
*CHI:	[xxx].
*MOT:	yeah.
*MOT:	hey what happened to our ball?
*MOT:	are you still doing night night?
*MOT:	oh a manu.
%com:	mother gasps.
*MOT:	a manu.
(13:00) *MOT:	can you find our ball?
*MOT:	are you yeah.
*MOT:	there it is.
*MOT:	there’s the purple ball.
*MOT:	it’s like your purple dress.
%com:	mother gasps.
*MOT:	whoa.
*MOT:	what happened?
*MOT:	slow fast.
%com:	mother gasps.
*MOT:	slow fast.
%com:	mother gasps.
*MOT:	slow.
*MOT:	fast.
(13:30) *MOT:	circle.
*MOT:	do you see the circles on the wall?
*MOT:	yeah that’s one blue.
*CHI:	[xxx].
*MOT:	blue circle.
%com:	child giggles.
%com:	mother giggles.
*MOT:	that’s right.
*MOT:	I see a green circle.
*MOT: 	do you see a green circle?
*MOT:	there’s the green circle.
%com:	mother whispers.
*MOT:	green circle.
(14:00) *MOT: that’s right baby girl.
*CHI:	[xxx].
*CHI:	[xxx].
*MOT:	purple.
*MOT:	purple circle.
*MOT:	just like our.
%com:	mother gasps.
*MOT:	here comes purple ball.
%com:	mother whispers.
*MOT:	purple ball.
%com:	mother whispers.
*MOT:	that’s nono.
%com:	mother gasps.
*MOT:	let’s see where’s the ball?
(14:30) *MOT:	can you throw the ball?
*MOT:	let’s see.
*MOT:	throw me the ball.
*MOT:	ready throw.
*MOT:	good girl.
*MOT:	okay.
*MOT:	[xxx].
*MOT:	all right can you throw me the ball?
*MOT:	throw me the ball.
*MOT:	uhoh.
(15:00) %com:	mother gasps.
*MOT:	oh I know what you could do.
*MOT:	can you kick it?
%com:	mother gasps.
*MOT:	can you kick it?
*MOT:	kick the ball.
*MOT:	[xxx].
*CHI:	[xxx].
*MOT:	red.
*MOT:	slow.
*MOT:	fast.
(15:30) *MOT:	slow.
*MOT:	fast.
%com:	mother gasps.
*MOT:	look it’s a zem.
*MOT:	[xxx].
%com:	mother laughs.
*MOT:	there you go.
*MOT:	yellow zem.
*CHI:	night night.
*MOT:	oh night night.
%com:	mother makes snoring noises.
*MOT:	come on in.
*MOT:	I had it on there most of the time.
(16:00) 

[End of Audio]	

Duration: 16 minutes

