FILE INFORMATION HEADING


@Begin
@Participants:		CHI: 1218; FATHER
@Filename:	XS_1218_transcript
@Age of CHI:	 13.1
@Date of Test: XXX
@Activities:	XXX
@Transcribed by:	GMRTrans; Checked by LS; Date:  XXX
%com:	TRANSCRIPTION BEGINS
%com:	***********************************



*FAT:	Okay.
%com:	father making noises.
*FAT:	do you want the zem huh?
*CHI:	[xxx].
*FAT:	ball.
*CHI:	[xxx].
*FAT:	ball or zem.
*FAT:	which one do you want?
*FAT:	you want the ball?	
*FAT: wanna give me it?
 (00:00:30) *FAT:	come on.
*CHI:	[xxx].
%com:	father growling.
*CHI:	[xxx].
*FAT:	[xxx].
*FAT:	[xxx].
*CHI:	[xxx].
*FAT:	[xxx].
*CHI:	[xxx].
%com:	father is mimicking the sounds the child makes.
%com:	father gasps.
*FAT:	good job.
*FAT:	ah.
*CHI:	[xxx].
*FAT:	[xxx].
*FAT:	give me.
%com:	father gasps.
*FAT:	good job.
%com:	clapping.
*CHI:	[xxx].
*FAT:	[xxx].
(00:01:00) *CHI:	[xxx].
*FAT:	mhm.
%com:	father gasps.
*CHI:	[xxx].
*FAT:	oh.
*CHI:	[xxx].
*FAT:	car.
*CHI:	[xxx].
*FAT:	the zem.
%com:	father gasps.
*CHI:	[xxx].
*FAT:	ah.
*FAT:	ah.
*FAT:	[xxx].
*FAT:	what are you doing?
%com:	noises from toys.
(00:01:30) *CHI:	[xxx].
*FAT:	ah.
*CHI:	[xxx].
*FAT:	[xxx].
%com:	father is mimicking sounds the child makes.
*CHI:	[xxx].
*CHI:	[xxx].
*CHI:	[xxx].
*FAT:	[xxx].
%com:	noises from toy.
*CHI:	[xxx].
*FAT:	[xxx].
%com:	father is mimicking the sounds the child makes.
*CHI:	[xxx].
*CHI:	[xxx].
*FAT:	[xxx].
(00:02:00) *CHI:	[xxx].
%com:	father gasps.
*FAT:	oh.
*CHI:	[xxx].
*FAT:	the manu.
*CHI:	[xxx].
*FAT:	huh.
*CHI:	[xxx].
*FAT:	[xxx].
%com:	father is mimicking the sounds the child makes.
