FILE INFORMATION HEADING


@Begin
@Participants:		CHI: ###; MOM
@Filename:	XS_0805_transcript
@Age of CHI:	 8.3
@Date of Test: XXX
@Activities:	XXX
@Transcribed by:	GMRTrans; Checked by LS; Date:  XXX
%com:	TRANSCRIPTION BEGINS
%com:	***********************************





(00:12) %com:	child breathing heavy.
(00:22)
(00:31) *MOT:	that’s a gimo.
%com:	child makes noises.
%com:	child hit toy on the floor and it makes a sound.
(00:41) %com:	child swinging toy around and a piece falls out of the head camera.
*MOT:	woops.
*MOT:	okay.
*MOT:	let’s put this back in.
(00:51) *MOT:	what’s this?
%com:	mom rattles toy.
*MOT:	what’s that?
%com:	toy rattling.
(1:01) *MOT:	that’s a brush.
(1:11) *MOT:	oh.
%com:	sounds.
%com:	child hits toy on the floor and it rattles.
*MOT:	what’s this?
(1:21) %Com:	toy rattles.
%com:	toy rattles.
*MOT:	what is that?
*MOT:	is that like a washcloth?
(1:32) *MOT:	that’s called a zem.
*MOT:	that’s called a zem.
%com:	mother moves toy and it rattles.
(1:41) *MOT:	you like that brush huh?
(1:51) %com:	child hits toy on the floor and it rattles.
%com:	noises.
(2:01)
(2:11) *CHI:	da.
*CHI:	dadadadada.
(2:23) *MOT:	are you saying dada?
(2:31) *MOT:	look at this.
*MOT:	meow.
*MOT:	meow.
*MOT:	meow.
*CHI:	[xxx].
*MOT:	nonononono.
*MOT:	we’re not going for that.
(2:42) *MOT:	and that looks really fun.
*MOT:	but we’re not gonna do that.
*MOT:	we’re not gonna do that.
(2:51) *MOT:	what’s that kitty cat doing?
*MOT:	oh no.
*MOT:	come here.
%com:	mother makes sounds.
*MOT:	okay.
*MOT:	let’s stay over here.
(3:01) *MOT:	what is this?
*MOT:	that’s called a zem.
*MOT:	zem.
*MOT:	tickletickletickle.
%com:	child breathing heavy.
%com:	mom tries to tickle the child with the toy.
(3:11) *MOT:	tickletickletickletickle.
*MOT:	it’s yellow.
%com:	child makes noises.
*MOT:	that’s a yellow one.
*CHI:	[xxx].
(3:21) *CHI:	[xxx].
*CHI:	[xxx].
%com:	child babbling and puts toy to her mouth.
*MOT:	yeah.
*CHI:	[xxx].
*MOT:	what’s this?
%com:	mom gasps.
(3:31) *MOT:	ah.
*MOT:	what is that?
*MOT:	is that a ball?
*MOT:	is that a ball?
%com:	child breathing heavy.
(3:41) *MOT:	say ball.
*MOT:	that’s a purple ball huh?
*CHI:	[xxx].
%com:	child puts toy up to her mouth.
(3:51) *MOT:	yeah.
*MOT:	that’s kinda cool.
%com:	child breathing heavy.
*MOT:	what’s this?
*MOT:	look it here.
*MOT:	say ball.
(4:01) *MOT:	oh.
*MOT:	the ball rolled away.
%com:	child makes noises.
*MOT:	the ball rolled away.
%com:	child makes noises as she crawls towards the toy.
(4:11) *CHI:	[xxx].
(4:21) *MOT:	okay.
*MOT:	what’s this?
*MOT:	what’s this?
*MOT:	what’s this?
*MOT:	[xxx].
*MOT:	[xxx].
%com:	mother holding the toy in her hand makes sounds as she plays with her daughter.
%com:	child breathing heavy.
(4:31) *MOT:	what we have not seen for.
*MOT:	oh.
*MOT:	we haven’t seen a brush for a while.
%com:	child breathing heavy.
*MOT:	want to see the brush?
*MOT:	[xxx].
%com:	mother making sounds as she’s giving the toy to the child.
(4:41) *MOT:	hello.
*CHI:	[xxx].
*MOT:	hello Lorali.
*MOT:	[xxx].
*MOT:	[xxx].
(4:51) *MOT:	[xxx].
%com:	child makes noises and throws the brush down.
*MOT:	whoah.
%com:	child makes noises.
