

@Begin
@Participants:		CHI: ###; GRANDMA
@Filename:	XS_1211_transcript
@Age of CHI:	 13.1
@Date of Test: XXX
@Activities:	XXX
@Transcribed by:	GMRTrans; Checked by LS; Date:  XXX
%com:	TRANSCRIPTION BEGINS
%com:	***********************************



*GRA:	what’s that?
*GRA:	that’s called a zem.
*GRA:	zem.
*GRA:	these are funny things look at that.
%com:	Grandma gasps.
*GRA:	can you push the ball with the zem. 
*GRA:	want play with zem?
*GRA:	you want to play?
*GRA:	catch it.
*GRA:	can you feel it?
*GRA:	zem’s funny.
*GRA:	does it feel funny?
*GRA:	can you brush your feet?
*GRA:	let’s brush your feet.
*GRA:	[xxx].
(00:30) %com:	Grandma laughs.
*GRA:	you want to brush your toes with a zem?
*GRA:	[xxx].
*CHI:	toe?
*GRA:	toe yeah.
*GRA:	can you brush your.
*GRA:	yeah.
*GRA:	you want to play on the pillows?
*GRA:	here.
*GRA:	let’s put the let’s put the ball under the pillow.
%com:	GRAher gasps.
*GRA:	boom where’d it go?
*GRA:	where’d it go?
*GRA:	there it is.
*GRA:	you found it.
*GRA:	that’s a good girl.
*GRA:	yeah.
*GRA:	move the pillow can you get the ball?
*GRA:	can you get the ball?
(1:00) *GRA:	okay.
*GRA:	oh pick it up no leave it alone it’s okay.
*GRA:	that’s okay.
*GRA:	no just leave it it’s okay.
*GRA:	[xxx] look.
*GRA:	it’s okay.
*GRA:	look at this.
*GRA:	[xxx].
%com:	Grandma laughs.
*GRA:	[xxx].
*GRA:	the zem is gonna tickle you.
*GRA:	tickle you tickle you.
*GRA:	yes it is.
*GRA:	it’s gonna tickle you.
*GRA:	are you hot?
*GRA:	you want me to take your coat off?
*GRA:	there.
*GRA:	let’s put the zem inside.
(1:30) *GRA:	peek a boo.
*GRA:	where’d it go?
*GRA:	where’d he go?
%com:	Grandma  giggles.
*CHI:	[xxx].
*GRA:	you want to take it off?
*GRA:	okay.
*GRA:	yeah it’s warm in here isn’t it?
*GRA:	mhm.
*GRA:	now you want the ball?
*GRA:	look we can bounce the ball.
