FILE INFORMATION HEADING


@Begin
@Participants:		CHI: 1224; MOM
@Filename:	XS_1224_transcript
@Age of CHI:	 12.5
@Date of Test: XXX
@Activities:	XXX
@Transcribed by:	GMRTrans; Checked by LS; Date:  XXX
%com:	TRANSCRIPTION BEGINS
%com:	***********************************



*MOT:	uhoh where’s it going?
*MOT:	can you go get it?
*MOT:	where is it?
*MOT:	where’s that brush?
%com:	child whines.
*MOT:	oh dear.
*MOT:	oh dear.
*MOT:	peekaboo.
*MOT:	there it is.
*MOT:	okay.
*MOT:	okay awesome.
*MOT:	and I don’t have my watch.
*MOT:	okay all right.
*MOT:	sounds good.
*MOT:	all right thanks.
*MOT:	[xxx] did you find the brush?
*MOT:	did you find it?
*MOT:	what are you going to do with that brush huh?
(00:00:30) *MOT:	it’s a pretty blue brush huh?
*MOT:	and what’s that?
*CHI:	[xxx].
*MOT:	yeah.
*MOT:	what do you see there huh?
*MOT:	do you see the bristles?
*CHI:	[xxx].
*MOT:	yeah the bristles and what else?
*CHI:	[xxx].
*MOT:	uhuh that’s the brush.
*CHI:	[xxx].
*MOT:	mhm.
*MOT:	oh wow.
*MOT:	oh are you going to tapping?
(00:01:00) *MOT:	are you tapping the brush?
*CHI:	[xxx].
*MOT:	mhm.
*MOT:	mhm.
*MOT:	oh are those rough?
*MOT:	are those rough?
*CHI:	[xxx].
*MOT:	oh what do you see?
*CHI:	[xxx].
*MOT:	oh okay.
*CHI:	[xxx].
*MOT:	what do you see on the wall?
*MOT:	oh and what’s that up there?
*CHI:	[xxx].
*MOT:	yeah you’re looking all around.
*CHI:	[xxx].
(00:01:30) *MOT:	oh yeah.
*MOT:	oh oh.
*MOT:	oh look here comes the brush.
*MOT:	here comes the brush [xxx].
*MOT:	uhoh.
*MOT:	oh no where’s the brush?
*MOT:	Mimi where did the brush go?
%com:	child laughs.
*MOT:	where is it?
%com:	mother gasps.
*MOT:	peekaboo.
*MOT:	uhoh where did the brush go?
*MOT:	I can’t find it.
*MOT:	where did it go?
*MOT:	Mimi.
*MOT:	Mimi.
*MOT:	Mimi look.
*MOT:	uhoh where are you going?
*MOT:	where are you going?
(00:02:00) *MOT:	oh what did you find?
*MOT:	what’s that?
*MOT:	uhoh what did you find?
*CHI:	[xxx].
*MOT:	is that the doorstop?
*MOT:	it is.
*MOT:	look what I found up here.
*MOT:	I found a brush and a.
%com:	mother gasps.
*MOT:	a tima.
*MOT:	look at the tima.
*MOT:	Mimi ooh is this the?
*MOT:	ooh ooh I’m going to go over here.
*MOT:	look.
*MOT:	I found the tima.
*CHI:	[xxx].
*MOT:	whoa.
(00:02:30) *CHI:	[xxx].
*MOT:	it’s the tima.
*CHI:	[xxx].
*MOT:	whoa can you get it Mimi?
*MOT:	the tima.
*CHI:	[xxx].
*MOT:	yes that’s the tima.
*MOT:	can you squeeze it?
*MOT:	yes.
*CHI:	[xxx].
*MOT:	oh.
*MOT:	you want me to hold it?
*MOT:	do you want me to hold it?
*MOT:	watch.
%com:	noise from toy.
%com:	mother is making noises.
(00:03:00) %com:	child laughs.
%com:	mother laughs.
*MOT:	oh.
*MOT:	do you like the tima?
*MOT:	do you like the tima?
*MOT:	that’s a fun toy huh?
*MOT:	yeah.
*MOT:	oh you’re squeezing.
*MOT:	squeezing it together.
%com:	mother is making noises.
*CHI:	[xxx].
*MOT:	does that taste good?
*MOT:	is that yummy?
*CHI:	[xxx].
*MOT:	uhuh that feels good on your teeth.
(00:03:30) *MOT:	oh good brushing.
*MOT:	ew.
*MOT:	ew are you eating the brush?
*CHI:	[xxx].
*MOT:	ew.
*MOT:	ew.
*CHI:	[xxx].
*MOT:	is that funny?
*CHI:	[xxx].
*MOT:	yeah you think that’s funny huh?
*MOT:	are you brushing the tima?
*MOT:	are you brushing the tima?
*MOT:	I’m going to get the tima.
(00:04:00) %com:	mother is making noises.
*MOT:	[xxx] can I get the brush with the tima?
*MOT:	look.
%com:	mother is making noises.
*CHI:	[xxx].
*MOT:	yeah.
*MOT:	look.
%com:	mother is making noises.
%com:	child laughs.
*MOT:	what a fun toy.
%com:	child laughs.
*MOT:	oh you’re brushing the pillow too.
*MOT:	look.
*MOT:	look at what mama’s doing.
*MOT:	Mimi look.
*MOT:	I’m pinching the pillow with the tima.
*MOT:	look pinching.
(00:04:30) *MOT:	yeah.
*CHI:	[xxx].
*MOT:	oh is that so soft.
*MOT:	and you’re drumming.
*MOT:	okay.
*MOT:	oh.
*CHI:	[xxx].
*MOT:	hey you’re drumming.
*MOT:	good job.
*MOT:	we’re drumming together.
*MOT:	oh what [xxx] are you giving a big hug?
(00:05:00) *MOT:	yeah.
*CHI:	[xxx].
*MOT:	mhm.
*CHI:	[xxx].
*MOT:	oh you have that.
*MOT:	do you want to trade?
*MOT:	here I’ll take the brush and you take the tima.
*CHI:	[xxx].
*MOT:	here you take the tima.
%com:	child whines.
*MOT:	oh you wanted the brush?
*MOT:	okay.
*MOT:	oh you’re sad?
*MOT:	okay here you have the brush.
*MOT:	you don’t have to trade.
*MOT:	there.
*MOT:	is that your favorite?
*MOT:	that brush.
(00:05:30) *MOT:	oh okay.
*MOT:	uhoh here comes the tima.
*MOT:	look.
*CHI:	[xxx].
%com:	mother is making noises.
*CHI:	[xxx].
%com:	child laughs.
*MOT:	mhm.
*MOT:	oh what a good one.
%com:	child laughs.
%com:	mother laughs.
*MOT:	ah.
*MOT:	are you giving the pillow a hug?
*MOT:	a big hug?
(00:06:00) *CHI:	[xxx].
*MOT:	oh and now you’re going to clean that one with the brush.
*MOT:	good job.
*CHI:	[xxx].
*MOT:	oh what is that?
*MOT:	what is that?
*CHI:	[xxx].
*MOT:	is that a camera?
*CHI:	[xxx].
*MOT:	mhm is that a camera?
*MOT:	yeah.
*MOT:	oh oh oh oh oh oh oh oh.
*MOT:	boop boop boop boop boop boop boop boop.
%com:	mother is singing.
%com:	child laughs.
*MOT:	boop boop boop boop boop boop boop boop da boop boop boop boop boop boop.
(00:06:30) *MOT:	boop boop.
%com:	child laughs.
%com:	mother laughs.
*MOT:	boop boop boop boop boop.
*MOT:	I see what you’re doing.
*MOT:	uhoh.
*MOT:	uhoh now mama’s losing stuff here.
*MOT:	let’s get it back together.
*MOT:	there we go.
%com:	mother gasps.
*MOT:	don’t don’t don’t don’t.
%com:	child laughs.
*MOT:	uhoh look.
*MOT:	what should we do next?
*MOT:	should we do brush or tima?
*MOT:	uhoh uhoh uhoh.
*MOT:	okay look here they go.
*MOT:	Mimi look look.
*MOT:	oh no.
*MOT:	oh nononononononononononono.
(00:07:00) %com:	child is whining.
*MOT:	okay look look look look look look look.
*MOT:	look Mimi.
*MOT:	Mimi look.
*MOT:	where’s the brush and the tima?
%com:	mother gasps.
*MOT:	look here they go byebye.
*MOT:	uhoh byebye.
*MOT:	can you wave byebye to the brush and the tima?
*MOT:	here.
*MOT:	wait wait wait.
