FILE INFORMATION HEADING


@Begin
@Participants:		CHI: 1635; DAD
@Filename:	XS_1635_transcript
@Age of CHI:	 15.5
@Date of Test: XXX
@Activities:	XXX
@Transcribed by:	GMRTrans; Checked by LS; Date:  XXX
%com:	TRANSCRIPTION BEGINS
%com:	***********************************



*FAT:	and is his thing turned on?
*FAT:	okay.
*FAT:	okay yeah.
*FAT:	[xxx] okay.
*FAT:	okay.
*FAT:	okay.
*FAT:	byebye Allie.
*FAT:	byebye.
*FAT:	look at this [xxx].
*FAT:	look a purple ball.
*FAT:	boing.
*FAT:	boing.
%com:	bouncing noises from the ball.
*FAT:	[xxx].
(00:00:30) *FAT:	that’s a zem.
*CHI:	[xxx].
*FAT:	a zem yeah.
*FAT:	how does it feel?
*FAT:	[xxx].
*FAT:	tickletickletickle.
*FAT:	can you tickle me with it?
%com:	father laughs.
*CHI:	[xxx].
*FAT:	a zem yeah a zem.
*CHI:	[xxx].
*FAT:	uhoh.
(00:01:00) *FAT:	[xxx].
%com:	father laughs.
*FAT:	mmm feels nice.
*FAT:	the zem.
*FAT:	mmm.
*FAT:	mmm.
*FAT:	here we got to leave that right there okay Zoen?
*FAT:	that’s your hat.
*FAT:	look at the ball.
*FAT:	should we see something else?
*FAT:	do you want to see a car?
*FAT:	look.
*FAT:	where’s the car [xxx]?
%com:	father gasps.
%com:	noises from toy.
*FAT:	vroom.
(00:01:30) *CHI:	[xxx].
*FAT:	oh do you want to have more?
*FAT:	do you want look this is a manu.
%com:	noises from toy.
*FAT:	manu
%com:	noises from toy.
%com:	father laughs.
%com:	father makes noises.
*CHI:	[xxx].
*FAT:[xxx] that you want more?
*FAT:	look.
%com:	noises from toy.
(00:02:00) *FAT:	what else is there?
%com:	noises from toy.
*FAT:	woop.
%com:	father laughs.
%com:	noises from toy.
*FAT:	that’s a tima.
%com:	noises from toy.
*FAT:	look this is our car.
(00:02:30) *FAT:	vroom.
*FAT:	should I put this car away?
*FAT:	byebye car.
*FAT:	[xxx] punch it.
*FAT:	mmm.
*FAT:	mmm.
*CHI:	[xxx].
*FAT:	oof.
*FAT:	oof.
(00:03:00) %com:	noises from toys.
*CHI:	[xxx].
*FAT:	Zoen can I have the tima?
*FAT:	can I have that tima?
(00:03:30) *FAT:	can I have it?
*FAT:	no.
*FAT:	it makes a sound.
%com:	father makes noises.
%com:	father laughs.
*FAT:	can I have the tima?	
*FAT:	no.
%com:	father laughs.
*FAT:	Zoen does Zoen want the tima?
*CHI:	[xxx].
*FAT:	do you want the tima?
(00:04:00) *FAT:	yeah okay.
*FAT:	I’ll have the brush.
%com:	brushing noises.
*FAT:	do you want the brush?
*FAT:	can I have the tima?
%com:	brushing noises.
(00:04:30) %com:	noises from toy.
%com:	father laughs.
*FAT:	uhoh.
*CHI:	[xxx].
*FAT:	can I have the tima back?
%com:	brushing noises.
%com:	noises from toy. 
*FAT:	and the brush.
*FAT: [xxx].
(00:05:00) *CHI:	[xxx].
*FAT:	mmm.
*FAT:	let’s scrub.
*FAT:	can we clean the floor?
*FAT:	oh you want to brush your pants.
*FAT:	brush your knees a little bit.
*FAT:	how about a wall [xxx]?
*FAT:	hey look at the circles.
*CHI:	[xxx].
*FAT:	yeah.
*FAT:	do you see some over there too?
(00:05:30) *FAT:	look.
*FAT:	look at that.
*CHI:	[xxx].
*FAT:	yeah look.
*FAT:	there’s an orange circle and a blue one.
*FAT:	look at the blue and a green one too.
*CHI:	[xxx].
*FAT:	orange.
*FAT:	yeah that’s an orange circle there.
*CHI:	[xxx].
*FAT:	green one.
*FAT:	let’s pick up the pillows.
*FAT: uuh.
*FAT:	look.
*FAT:	byebye zem.
*FAT:	where is it?
(00:06:00) %com:	father gasps.
*FAT:	there it is.
*FAT:	byebye.
*FAT:	where is the zem?
%com:	father gasps.
*FAT:	boop.
*FAT:	here let’s let’s build a little house for him.
*CHI:	[xxx].
*FAT:	can you put the brush in the can you put the brush in the house?
*FAT:	oop.
*CHI:	[xxx].
%com:	father laughs.
*FAT:	where’s the zem?
(00:06:30) *FAT:	can you get the zem?
*CHI:	[xxx].
*FAT:	yeah.
*FAT:	thank you.
*FAT:	can I have it?
*FAT:	thank you.
*FAT:	can I have the brush?
*FAT:	no.
*FAT:	I’m going to make a house for Zoen.
%com:	father laughs.
*FAT:	uhoh.
%com:	father makes noise.
*CHI:	[xxx].
*FAT:	what do you want more of?
*CHI:	[xxx].
(00:07:00) *FAT: 	mamu what?
*FAT:	mamu oh do you want more house?
*FAT:	do you want the house back?
*FAT:	here let’s make a little house.
*FAT:	do you want a house for you?
%com:	child laughs.
%com:	father laughs.
*FAT:	okay.
*FAT:	uhoh.
*FAT:	here look let’s get the ball.
*FAT:	can I put the ball in the house?
*FAT:	Zoen can you put the ball in the house?
(00:07:30) *FAT:	uhoh.
*FAT:	can you put the ball in the house?
*FAT:	yeah?
*CHI:	[xxx].
*FAT:	uhoh.
*FAT:	there’s the house.
*FAT:	can you put the ball in the house?
*FAT:	there you go.
*FAT:	here Zoen.
(00:08:00) *FAT:	how about the manu?
*FAT:	can you put the manu in the house?
*CHI:	[xxx].
%com:	father laughs.
*FAT:	do you want to be in the house with the manu?
*FAT:	in the house.
*FAT:	there you are.
*FAT:	where’s.
%com:	child laughs.
%com:	father laughs.
(00:08:30) *FAT:	ah look look.
*FAT:	we’ll make we’ll make music with her.
%com:	noises from toy.
*FAT:	uhoh.
*CHI:	[xxx].
%com:	father laughs.
*FAT:	uhoh.
*CHI:	[xxx].
*FAT:	how’s it go back together?
*FAT:	is it here can you put that in there?
*FAT:	let’s fix the manu.
(00:09:00) %com:	noises from toy.
*FAT:	fix the manu.
*FAT:	look watch this watch this.
*FAT:	do you want to make it go uhoh again?
*FAT:	should we break it again?
*FAT:	uhoh.
%com:	father laughs.
*CHI:	[xxx].
(00:09:30) *FAT:	is that a does that look like a garbage can?
*FAT:	here do you want to put it back [xxx].
*FAT:	is that right?
*FAT:	no right here.
%com:	noises from toy.
*FAT:	can you pick up the handle?
*FAT:	here let’s see there’s the handle.
*FAT:	and we need to put the screw in.
*FAT:	there.
%com:	noises from the toy.
(00:10:00) *FAT:	here do you want it?
*FAT:	how about the ball?
%com:	ball bounces.
%com:	child whines.
*FAT:	ooh watch this.
*FAT:	uhoh.
*FAT:	uhoh.
*FAT:	look at this Zoen.
(00:10:30) *CHI:	[xxx].
%com:	father laughs.
*FAT:	you’re holding uhoh.
*FAT:	let’s try to hold the ball with the tima.
*FAT:	[xxx] the tima.
*FAT:	hold the ball.
%com:	father laughs.
*FAT:	look at that you got it bud.
*FAT:	oops.
*CHI:	[xxx].
*FAT:	can you get the ball with the tima? *CHI:	[xxx].
*FAT:	yeah?
*FAT:	ooh look it stretches out.
(00:11:00) *FAT:	should I make a little home again?
%com Father pillows pick up the pillows.
*FAT: here we go.
%com:	child laughs.
*FAT:	uhoh.
%com:	father laughs.
*FAT:	I’m going to go get the ball.
*CHI:	[xxx].
*FAT:	do you want the ball?
%com:	child laughs.
%com:	father laughs.
(00:11:30) *CHI:	[xxx].
*FAT:	do you want more?
*FAT:	here do you want more?
*FAT: here.
