FILE INFORMATION HEADING


@Begin
@Participants:		CHI: 1230; MOM
@Filename:	XS_1230_transcript
@Age of CHI:	 13.1
@Date of Test: XXX
@Activities:	XXX
@Transcribed by:	GMRTrans; Checked by LS; Date:  XXX
%com:	TRANSCRIPTION BEGINS
%com:	***********************************



*MOT:	Hey Morgan.
*MOT:	oh [xxx].
(00:00:30) *MOT:	Miss Morgan how distracted can you?
*MOT:	hi.
*MOT:	hi.
*MOT:	oh yes you’re looking at my camera.
%com:	mother laughs.
%com:	child laughs.
%com:	mother hums.
*MOT:	the other camera. 
(00:01:00) *MOT:	the other camera.
*MOT:	do you want to jump on a pillow?
*MOT:	oh yes.
*MOT:	that’s a big squishy pillow.
*MOT:	what is this?
*CHI:	[xxx].
*MOT:	[xxx] this is a manu.
*MOT:	can you turn the manu?
*MOT:	turn the handle on the manu?
*MOT:	yeah.
(00:01:30) *MOT:	cool.
*MOT:	what’s it do it makes a little squeaky noise.
*MOT:	and it goes around.
%com:	noises from toy.
*CHI:	[xxx].
*MOT:	whoop keep the camera on sweetie.
%com:	mother laughs.
(00:02:00) *MOT:	ah is that interesting?
*MOT:	[xxx].
*MOT:	oh see that [xxx] part is blue just like the brush.
*MOT:	well not just like the brush.
*MOT:	it’s a slightly different shade of blue.
*MOT:	blue and white.
*MOT:	and blue and white.
*MOT:	blue and white blue and white.
*CHI:	[xxx].
*MOT:	and they both got handles.
(00:02:30) *MOT:	that is the floor.
*CHI:	[xxx].
*MOT:	what you doing?
*MOT:	knocking your camera askew.
*MOT:	there it goes.
*MOT:	all right all settled back.
*MOT:	what’s this?
*CHI:	[xxx].
%com:	mother laughs.
(00:03:00) 
*CHI:	[xxx].
*MOT:	oh are you going to climb on mama?
%com:	child making breathing noises.
*CHI:	[xxx].
*MOT:	is it mama wrestling time.
*MOT:	okay.
*MOT:	hair out a little bit.
*MOT:	is that more comfortable with your hair out.
*CHI:	[xxx].
*MOT:	Morgan.
*CHI:	[xxx].
*MOT:	oh is a big red dog?
*CHI:	[xxx].
*MOT:	yes is a doggy.
