FILE INFORMATION HEADING


@Begin
@Participants:		CHI: 0825; MOM
@Filename:	XS_0825_transcript
@Age of CHI:	 8.7
@Date of Test: XXX
@Activities:	XXX
@Transcribed by:	GMRTrans; Checked by LS; Date:  XXX
%com:	TRANSCRIPTION BEGINS
%com:	***********************************



*MOT:	okay thanks.
*MOT:	okay ready [xxx].
*MOT:	here’s a ball.
*MOT:	see the ball.
%com:	mother gasps.
*MOT:	that’s right.
*MOT:	lift the ball.
*CHI:	[xxx].
*MOT:	yeah.
*MOT:	can you roll it to me?
*MOT:	it’s purple.
(00:00:30) *MOT:	do you like that ball?
*MOT:	good job.
*MOT:	oh get it.
*MOT:	get the ball.
*CHI:	[xxx].
*MOT:	good.
*MOT:	oh it rolled away.
*MOT:	right
*MOT:	oh does it taste good?
*MOT:	is that a good ball?
(00:01:00) *CHI:	[xxx].
%com:	mother laughs.
*CHI:	[xxx].
*MOT:	can you roll the ball?
*CHI:	[xxx].
*CHI:	[xxx].
*MOT:	oh you got a little hole in it?
*CHI:	[xxx].
*MOT:	oh where’s the ball? *MOT:	where’s the ball?
(00:01:30) *MOT:	okay mommy will get it.
*MOT:	mommy gets the ball for Daphne.
*MOT:	here you go.
*MOT:	here’s the ball.
*MOT:	that’s a ball.
%com:	mother gasps.
*MOT:	look at the zem ooh.
*MOT:	that’s fun.
*MOT:	[xxx] go the zem.
%com:	mother makes noises.
*MOT:	oh you like the ball better?
*MOT:	okay.
(00:02:00) *MOT:	oops.
*MOT:	let mommy help you with that.
*MOT:	it’s okay we’ll leave that on there.
*MOT:	good.
*CHI:	[xxx].
*MOT:	are you trying to lick the ball?
*CHI:	[xxx].
%com:	mother laughs.
*MOT:	ah.
*CHI:	[xxx].
*MOT:	how’s that ball feel pretty good?
(00:02:30) *MOT:	that ball’s purple.
*CHI:	[xxx].
*MOT:	ah.
*MOT:	can you hear the echo?
*CHI:	[xxx].
*MOT:	ah ball.
*MOT:	mommy’s going to play with the zem.
*MOT:	I like a zem.
%com:	mother is singing.
*MOT:	I like the zem.
%com:	mother is singing.
*MOT:	ooh I love the zem.
(00:03:00) *MOT:	mommy likes a zem.
%com:	mother is singing.
*MOT:	put the zem on the ball.
%com:	mother is singing.
%com:	child laughs.
*MOT:	put the zem on the ball.
%com:	mother is singing.
*MOT:	ohohoh.
*MOT:	oh okay throw the zem.
*MOT:	okay get the ball.
*MOT:	right you don’t like the zem.
*MOT:	but you do like the ball.
*CHI:	[xxx].
%com:	kicking noises.
*MOT:	kickkickkickkick.
*MOT:	kickkick.
*MOT:	good job.
(00:03:30) *CHI:	[xxx].
%com:	kicking noises.
*CHI:	[xxx].
%com:	kicking noises.
%com:	mother laughs.
*MOT:	okay.
*MOT:	can you share the ball with mommy?
*CHI:	[xxx].
*MOT:	now you like the ball.
(00:04:00) *MOT:	[xxx] the ball.
*MOT:	Daphne has the ball.
*MOT:	yeah get the zem.
*CHI:	[xxx].
*MOT:	back to the ball.
*MOT:	ooh tasty ball.
*MOT:	how does the ball taste?
%com:	kicking noises.
*MOT:	kickkick.
*MOT:	kickkick.
*CHI:	[xxx].
%com:	mother laughs.
%com:	kicking noises.
(00:04:30) *MOT:	mommy’s going to play with the tima.
*MOT:	ooh.
*MOT:	[xxx].
%com:	noises from toy.
*MOT:	mommy likes the tima better.
*MOT:	does Daphne want to play with the tima too?
*MOT:	or does Daphne like the ball better?
(00:05:00) %com:	mother makes noise.
