FILE INFORMATION HEADING


@Begin
@Participants:		CHI: ###; MOM
@Filename:	XS_1208_transcript
@Age of CHI:	 13.5
@Date of Test: XXX
@Activities:	XXX
@Transcribed by:	GMRTrans; Checked by LS; Date:  XXX
%com:	TRANSCRIPTION BEGINS
%com:	***********************************





*MOT:	okay.
*MOT:	where’s the ball?
*CHI:	[xxx].
*MOT:	where’s the ball?
*CHI:	[xxx].
*MOT:	that’s not the ball silly.
*MOT:	over here.
*MOT:	[xxx].
*MOT:	over here.
*MOT:	what’s that?
*CHI:	[xxx].
*CHI:	[xxx].
*CHI:	[xxx].
*CHI:	[xxx].
(:30) *MOT:	nope.
*MOT:	come on over here.
*MOT:	come on over here.
%com:	mother whistles.
*CHI:	[xxx].
%com:	mother gasps.
*MOT:	[xxx].
*CHI:	[xxx].
%com:	child laughs.
%com:	mother gasps.
*MOT:	can you throw it?
%com:	child squeals.
*MOT:	oop.
*CHI:	whoa.
*MOT:	oh nono don’t eat that.
*MOT:	don’t.
*CHI:	no.
*MOT:	[xxx].
(1:00) *MOT:	oh okay.
*CHI:	ball.
*CHI:	[xxx].
%com:	child squeals.
*MOT:	oh okay.
*CHI:	[xxx].
*MOT:	come on put your head up silly.
(1:30) *MOT:	whoa.
*CHI:	[xxx].
*MOT:	well so much for that.
*MOT:	I thought you were used to it.
*CHI:	[xxx].
*CHI:	woah.
*CHI:	[xxx].
(2:00) *MOT:	look at the ball connor.
*MOT:	woah.
*CHI:	whoa.
*CHI:	[xxx].
*CHI:	[xxx].
*MOT:	come on.
*MOT:	come on look at this.
%com:	mother gasps.
*MOT:	I’m gonna throw the ball.
*MOT:	can you go get it?
*MOT:	go get the ball.
*MOT:	go get the ball.
*CHI:	[xxx].
(2:30) *CHI:	[xxx].
*CHI:	ball.
*CHI:	[xxx].
%com:	mother laughs.
*CHI:	ball.
*MOT:	[xxx].
*CHI:	[xxx].
*MOT:	what do you see?
*CHI:	ball.
*CHI:	[xxx].
(3:00) *CHI:	[xxx].
*MOT:	let’s not eat it please.
*MOT:	yeah.
*MOT:	no.
*MOT:	leave it there please.
*MOT:	I can see this is gonna be a challenge.
*CHI:	[xxx].
*MOT:	I know.
*CHI:	[xxx].
*MOT:	oh outlets.
*MOT:	looks like so much fun.
*MOT:	that’s not for you though.
(3:30) *MOT:	connor come here.
*CHI:	[xxx].
*MOT:	come here.
*MOT:	look at this.
*MOT:	look at this.
*MOT:	it’s called a zem.
*MOT:	yeah.
*MOT:	you want to play with it?
*MOT:	yellow.
*MOT:	say yellow zem.
*MOT:	or purple ball.
*CHI:	[xxx].
*CHI:	ball.
*CHI:	[xxx].
*CHI:	[xxx].
*MOT:	oh you don’t want that.
*CHI:	[xxx] ball.
(4:00) *MOT:	come here bud.
*MOT:	Connor.
*MOT:	look.
%com:	mother gasps.
*MOT:	you want to play with the ball?
*CHI:	no.
*CHI:	[xxx].
*MOT:	[xxx] that’s a door.
*MOT:	door.
*CHI:	[xxx].
*MOT:	 come here.
*MOT:	Connor look.
*MOT:	 you want to play with the ball?
*MOT:	whoa.
*CHI:	[xxx].
*MOT:	get it get it get it.
*CHI:	[xxx].
(4:30) *CHI:	[xxx].
*CHI:	[xxx].
%com:	mother gasps.
*MOT:	oh my [xxx].
*MOT:	get the ball.
*MOT:	get the ball.
*CHI:	[xxx].
*CHI:	uhoh.
*MOT:	uhoh.
*MOT:	can you throw the ball?
*CHI:	[xxx].
*CHI:	[xxx].
*CHI:	[xxx].
*CHI:	[xxx].
*CHI:	uhoh.
(5:00) *MOT:	uhoh.
*MOT:	[xxx].
*CHI:	[xxx].
*MOT:	can you throw the ball to me?
*CHI:	ball.
*MOT:	no.
*CHI:	[xxx].
*CHI:	[xxx].
*CHI:	[xxx].
*MOT:	 Connor come here.
*CHI:	[xxx].
*MOT:	look at this.
*MOT:	look at this zem.
*MOT:	look at this.
*MOT:	look at it.
*MOT:	come on.
*MOT:	you want to get it?
*MOT:	come on.
%com:	mother gasps.
*MOT:	get it.
(5:30) *MOT:	no.
*CHI:	[xxx].
*CHI:	[xxx].
*MOT:	mhm.
*CHI:	[xxx].
%com:	mother gasps.
*MOT:	get the ball.
*CHI:	[xxx].
*MOT:	you want the ball?
*CHI:	[xxx].
*MOT:	come over here.
*MOT:	come here silly.
*MOT:	come on.
*MOT: 	do you want to try something different?
*MOT:	you want a different toy?
*MOT:	you want a different toy?
(6:00) %com:	mother gasps.
*MOT:	look at this.
%com:	mother gasps.
*MOT:	we’ve got a car.
*MOT:	and a manu.
*MOT:	a car and a manu.
%com:	mother gasps.
*MOT:	look at this.
*MOT:	come here.
*CHI:	[xxx].
*MOT:	what’s that?
%com:	mother makes buzzing noises.
(6:30) *CHI:	[xxx].
(7:00) *MOT:	that is a good squeaky car isn’t it?
*MOT:	look [xxx].
*MOT:	what’s this?
*MOT:	what’s this?
*MOT:	look.
*MOT:	I have a manu.
(7:30) *MOT:	[xxx] turn it.
*MOT:	look.
*MOT:	or break it.
*MOT:	[xxx].
*MOT:	you want to play with that?
(8:00) *CHI:	[xxx].
*CHI:	[xxx].
(8:30) *MOT:	come over here.
*MOT:	come here.
*MOT:	can you push the car to me?
*MOT:	can you push the car over to me?
*MOT:	oh.
*MOT:	[xxx].
*MOT:	push it over here.
*MOT:	can you push the car here?
%com:	mother gasps.
*CHI:	whoa.
*MOT:	whoa.
*MOT:	what is that?
*MOT:	that’s called a manu.
*MOT:	what does it do?
(9:00) *MOT:	what does it do?
*CHI:	[xxx].
*CHI:	[xxx].
*MOT:	look.
*MOT:	look at this.
%com:	mother gasps.
*MOT:	does it turn?
*MOT:	I think I broke it.
*MOT:	[xxx].
*MOT:	[xxx].
%com:	mother gasps.
(9:30) *MOT:	[xxx].
*MOT:	[xxx].
*MOT:	oop.
*CHI:	[xxx].
*CHI:	[xxx].
(10:00) *CHI:	[xxx].
*MOT:	what is that?
*MOT:	that’s a manu.
*MOT:	it’s a manu.
*MOT:	it’s a broken manu.
*CHI:	[xxx].
(10:30) *CHI:	[xxx].
*MOT:	can you put that inside.
*MOT:	right?
*MOT:	can you put them inside?
%com:	mother gasps.
*MOT:	can you put this inside the car?
*MOT:	put it in the back.
*MOT:	oh.
*MOT:	good job.
*MOT:	look at that.
%com:	mother gasps.
*MOT:	can you put it back inside?
*MOT:	you can put it in the back of the car too.
*MOT:	can you put it in the back?
*MOT:	can you put this in the back of the car?
(11:00) *MOT:	all right.
*CHI:	[xxx].
(11:30) *CHI:	[xxx].
%com:	mother giggles.
*CHI:	[xxx].
*CHI:	[xxx].
*MOT:	[xxx].
*MOT:	[xxx] look at all the circles on the walls.
%com:	mother gasps.
*MOT:	look the car.
%com:	mother makes buzzing noises.
*CHI:	[xxx].
%com:	mother gasps.
(12:00) *CHI:	[xxx].
*MOT:	what is that?
*MOT:	that’s that’s called a manu.
*MOT:	it’s a manu.
*CHI:	[xxx].
*MOT:	no [xxx] door.
*MOT:	come here.
*MOT:	come on over here.
(12:30) *MOT:	connor.
*MOT:	[xxx].
*MOT:	[xxx] so much fun.
*CHI:	[xxx].
*MOT:	no.
*MOT:	no pounding things on the walls.
*MOT:	just like at home.
*MOT:	just like at home.
*MOT:	come here.
*CHI:	[xxx].
*MOT:	[xxx] the pounding on the walls.
*MOT:	nope.
*MOT:	come on.
*MOT:	look at look at this.
*MOT:	you can pound it on here.
*MOT:	[xxx].
*MOT:	look at that.
*MOT:	you want to do that?
(13:00) *MOT: 	it makes [xxx] noise.
%com:	mother gasps.
*CHI:	[xxx].
*MOT:	come on over here.
*CHI:	[xxx].
*CHI:	[xxx].
(13:30) *MOT:	can you make music with this manu?
*MOT:	what can you do with it?
(14:00) *MOT:	look at that.
%com:	mother gasps.
*MOT:	good job bud.
*MOT:	you put it all inside.
*MOT:	you put it all inside.
*CHI:	uhoh.
*MOT:	uhoh.
*CHI:	[xxx].
*CHI:	uhoh.
%com:	mother gasps.
*MOT:	where did it go?
*MOT:	go get it.
*CHI:	[xxx].
(14:30) *CHI:	[xxx].
*MOT:	no not on the not on the door please.
*CHI:	[xxx].
*MOT:	come here.
*MOT:	no.
*MOT:	don’t [xxx] door please.
*MOT:	come on.
*MOT:	we don’t pound them on the door at home either.
*CHI:	[xxx].
*CHI:	[xxx].
*MOT:	[xxx].
*MOT:	[xxx].
*CHI:	[xxx].
(15:00) *CHI:	[xxx].
*CHI:	[xxx].
*CHI:	[xxx].
%com:	mother laughs.
*CHI:	[xxx].
*CHI:	[xxx].
*MOT:	what is it?
(15:30) *CHI:	[xxx].
*MOT:	where’s the car?
*MOT:	can you get the car?
%com:	mother gasps.
*MOT:	here it is.
*MOT: can you push it?
*CHI:	[xxx].
*MOT:	oh.
*MOT:	what do you think?
%com:	mother gasps.
*MOT:	what’s that?
*MOT:	you want the manu?
*MOT:	[xxx].
(16:00) *CHI:	[xxx].
*CHI:	[xxx].
*MOT:	I know that’s the top of the door.
*CHI:	[xxx].
*MOT:	you want to play with something different?
*MOT:	look.
*MOT:	 you want to play with no let’s leave that on your head please.
*MOT:	oh.
*MOT:	nope.
