FILE INFORMATION HEADING


@Begin
@Participants:		CHI: 1201; MOM; FEMALE
@Filename:	XS_1201_transcript
@Age of CHI:	 11.7
@Date of Test: XXX
@Activities:	XXX
@Transcribed by:	GMRTrans; Checked by LS; Date:  XXX
%com:	TRANSCRIPTION BEGINS
%com:	***********************************



*MOT:	it works when I put your clothes on.  
*MOT:	we’ll see if it works for this.
%com:	mother gasps.
*MOT:	ta da.
*MOT:	ta da.
%com:	mother sings ta da.
*MOT:	I didn’t think about [xxx] right now.
%com:	other female making noises.
*MOT:	that little yellow bug.
*MOT:	the zem.
*MOT:	it moves around so much.
*MOT:	it’s so jiggly.  
(00:00:30) *MOT:	look how jiggly the zem is.
*MOT:	ah.
*CHI:	[xxx].
*FEM:	let’s move that stuff down.
*MOT:	say I like the ball.
*FEM:		so many toys.
%com:	child laughs.
*FEM:	maybe if she’s an explorer it might be better to leave them up there.
*MOT:	yeah she’s definitely an explorer.
*FEM:	all right. 
*FEM:	how about she plays with those two.
*MOT:	all right.
*MOT:	that sounds good.
*MOT:	it’s like you picked them.
*FEM:	yeah you picked them out.
*MOT:	you picked them all yourself.
*FEM:	all right.
*FEM:	again, as usual if it comes off just feel free to knock and I’ll recalibrate.
(00:01:00) *MOT:	all right.
*FEM:	if the little lens comes off that’s not a big deal.
*MOT:	vroomvroom.
%com:	mother making car sounds.
*CHI:	[xxx].
*MOT:	haha.
*MOT:	she called this one a manu.
%com:	mother gasps.
*MOT:	ooh.
%com:	mother is making car noises.
(00:01:30) *MOT:	do you want this [xxx]?
*MOT:	grinder.
*CHI:	[xxx].
%com:	mother laughs.
*MOT:	you’re doing good.
*MOT:	yeah.
*MOT:	gogo.
*CHI:	dada.
*MOT:	dada.
*MOT:	are you going to go fast?
%com:	mother makes noises.
*MOT:	whoa.
%com:	mother makes a noise like a car brake.
%com:	mother laughs.
(00:02:00) *CHI:	[xxx].
*MOT:	nicely done baby.
*MOT:	watch out for that corner right by your head.
*MOT:	no leave that on.
*MOT:	uhoh silly girl.
*MOT:	there.
*MOT:	there we go.
*MOT:	what’s this?
*MOT:	you ready?
*MOT:	here we go.
*MOT:	watch.
*MOT:	see mama.
(00:02:30) %com:	mother gasps.
%com:	mother makes a noise.
%com:	mother gasps.
*MOT:	yeah.
*MOT:	there we go.
*MOT:	what’s this?
%com:	toy screeches.
*MOT:	oh ready?
*MOT:	oh.
*MOT:	you’re not supposed to pull that off.
*MOT:	give me that.
*MOT:	let’s wipe that off a little better.
*MOT:	nonono.
*MOT:	nonono.
*MOT:	okay.
*MOT:	ready?
%com:	mother gasps.
%com:	mother laughs.
(00:03:00) *MOT:	you just do not want that on do you?
*MOT:	you want me?
*MOT:	[xxx].
*CHI:	[xxx].
*MOT:	huh.
%com:	mother gasps.
*MOT:	hi.
*MOT:	all right.
*MOT:	let’s come play over here where they can see us.
*MOT:	whoa.
*MOT:	whoa.
*MOT:	ready?
%com:	mother gasps.
*MOT:	here.
*MOT:	okay.
*MOT:	ready.
*MOT:	can you sit?
%com:	mother makes a noise.
*MOT:	what’s this?
(00:03:30) *MOT:	here we go.
%com:	mother makes noise.
%com:	child laughs.
%com:	mother laughs.
*MOT:	are you going to run away?
*MOT:	there you go.
*MOT:	hey look at this.
%com:	car makes noise.
%com:	mother makes a noise.
*MOT:	again.
%com:	mother gasps.
*MOT:	is it is it up here?
*MOT:	oh now it’s down over here.
*MOT:	right there.
*MOT:	right here.
*MOT:	ready?
%com:	mother makes car noise.
*MOT:	oh you want to check out what else is there?
%com:	noises from toys.
(00:04:00) *CHI:	[xxx].
%com:	mother laughs.
*MOT:	you like that car.
%com:	noise from toy.
%com:	mother gasps.
*MOT:	what is that?
*MOT:	do you want to get it?
*CHI:	[xxx].
*MOT:	thank you.
*MOT:	do you want it back?
%com:	mother gasps.
(00:04:30) *MOT:	there you go.
*MOT:	[xxx] oh thank you.
*CHI:	[xxx].
%com:	mother laughs.
*MOT:	you like that.
*MOT:	do you want it back?
*MOT:	here come here.
*MOT:	come over here.
*CHI:	[xxx].
*MOT:	here you go.
*CHI:	[xxx].
*MOT:	yeah.
*MOT:	is that your favorite game?
*MOT:	do you want to play [xxx]?
*MOT:	whoa.
%com:	mother gasps.
*MOT:	good job.
*MOT:	thank you.
(00:05:00) *MOT:	hahaha.
*MOT:	do you want it back?
*MOT:	ready?
*CHI:	[xxx].
*MOT:	do you like the circles?
*MOT:	that’s pretty.
*MOT:	good job.
*MOT:	pretty circles.
*CHI:	[xxx].
*MOT:	circle.
*MOT:	circle.
%com:	noise from toy.
%com:	mother making car noises.
(00:05:30) *MOT:	[xxx].
*MOT:	manu.
*MOT:	do you want to try it?
*MOT:	want to spin?
%com:	noise from the toy.
%com:	mother gasps.
*MOT:	whoa.
*MOT:	you hold this part.
*MOT:	there.
*MOT:	whoa.
%com:	mother laughs.
*MOT:	oh thank you.
*CHI:	[xxx].
*MOT:	[xxx].
(00:06:00) *MOT:	do you like the circles?
*MOT:	circle.
*MOT:	sss.
*MOT:	nonono leave it on.
*MOT:	oh we were so good there for a little bit.
*MOT:	ready.
*MOT:	ready here we go.
%com:	mother makes a noise.
%com:	child laughs.
%com:	mother makes a noise.
%com:	child laughs.
%com:	mother laughs.
*MOT:	all right.
