FILE INFORMATION HEADING


@Begin
@Participants:		CHI: 1619; MOM
@Filename:	XS_1619_transcript
@Age of CHI:	 17.6
@Date of Test: XXX
@Activities:	XXX
@Transcribed by:	GMRTrans; Checked by LS; Date:  XXX
%com:	TRANSCRIPTION BEGINS
%com:	***********************************


(00:32) *MOT:	throw the ball.
*MOT:	can we throw it over there?
*MOT:	go get it.
%com:	ball hits the floor as mom throws it and it makes sounds.
*MOT:	ball.
%com:	child runs to get the ball making sounds.
*MOT:	what is this one?
*MOT:	look at the zem.
*MOT:	Addie the zem.
*MOT:	zem.
*MOT:	where’s the zem?
*CHI:	[xxx].
*MOT:	[xxx].
*MOT:	ball?
*MOT:	ah.
%com:	noises as child walks.
*CHI:	[xxx].
*MOT:	[xxx].
*MOT:	oh good throw angel boy.
%com:	background noises.
*MOT:	where’s that one?
*MOT:	get that one.
*MOT:	where’s the zem?
(00:59) %com:	background noises and child walks.
*MOT:	ah.
*MOT:	mommy.
*MOT:	are you ready?
%com:	background noises.
*MOT:	where’s the ball?
*MOT:	want me to throw it?
*MOT:	ready?
*MOT:	one two three.
%com:	mom throws the ball and it makes sounds as it hits the floor.
*MOT:	get it.
*MOT:	go get it.
*MOT:	ah.
*MOT:	what about a zem?
*MOT:	look at Addie.
%com:	background noises as child runs to get the ball.
*MOT:	oh it’s soft.
*MOT:	don’t.
*MOT:	don’t touch.
*MOT:	Addie look at.
*MOT:	soft.
*MOT:	tickles.
*MOT:	tickles?
%com:	background sounds as child walks.
*MOT:	watch tickles.
*MOT:	ah zem on belly.
%com:	mom laughs.
(01:29) %com:	child making sounds.
*CHI:	[xxx].
*MOT:	Addie nono.
*MOT:	that’s a light switch.
*MOT:	do you want to put these ones away?
%com:	background sounds as mom crawls across the floor.
*MOT:	let’s look at these two.
%com:	background noises as child and mom are both walking around.
*MOT:	look at this.
*MOT:	what is this one?
%com:	mom gasps.
%com:	background noises.
*MOT:	it’s a car?
%com:	mom makes sounds as she pushes the car across the floor.
*MOT:	car.
*MOT:	look at this one.
*MOT:	manu.
%com:	mom pushes manu and it makes sounds.
*MOT:	manu.
%com:	manu makes sounds as mom pushes it across the floor.
%com:	manu makes sounds as mom picks it up and turns the handle.
*MOT:	manu.
%com:	manu makes sounds as child takes it from mom.
*MOT:	what is that?
%com:	manu makes sounds as child puts it on the floor.
*MOT:	that’s exactly correct.
%com:	manu makes sounds as child plays with it.
*MOT:	could use a little oil.
(01:59) %com:	mom makes sounds as she turns the handle of the manu.
%com:	background noises as child walks.
*MOT:	manu.
*MOT:	no.
*MOT:	you have to play with it.
*MOT:	let’s play.
%com:	background noises.
*MOT:	do you want to get the car?
%com:	background noises as child walks.
%com:	manu makes sounds as mom plays with it.
