FILE INFORMATION HEADING


@Begin
@Participants:		CHI: 0822; MOM
@Filename:	XS_0822_transcrirpt
@Age of CHI:	 9.3
@Date of Test: XXX
@Activities:	XXX
@Transcribed by:	GMRTrans; Checked by LS; Date:  XXX
%com:	TRANSCRIPTION BEGINS
%com:	***********************************



*MOT:	okay great.
*MOT:	[xxx].
*MOT:	where did she go?
%com:	mother gasps.
*MOT:	hi.
*MOT:	what do you have there?
*MOT:	do you have a brush?
*MOT:	is that a brush?
*MOT:	is it the kind of brush for your head?
*CHI:	[xxx].
*MOT:	or is it the kind of brush for the dishes?
(00:00:30) *MOT:	dishes.
*CHI:	[xxx].
*MOT:	yeah.
*MOT:	and this one is.
*MOT:	this one is a zem.
*MOT:	zem.
%com:	mother makes noises.
*MOT:	[xxx] wanna do it?
*MOT:	can you get the zem?
*MOT:	come get the zem.
*MOT:	look at the zem. 
(00:01:00) *MOT:	[xxx] here.
*MOT:	[xxx] over here.
*MOT:	and we’ll play with something else okay?
*MOT:	come over here.
*CHI:	[xxx].
*MOT:	is the brush prickly?
*MOT:	prickly.
*MOT:	prickly brush.
 (00:01:30) *MOT:	please don’t chew on it.
*MOT:	ah.
*MOT:	all right.
*MOT:	how about I take this brush and do ball.
%com:	noise from ball bouncing.
*CHI:	[xxx].
*MOT:	[xxx].
*MOT:	[xxx] brush.
*MOT:	oh.
(00:02:00) *CHI:	[xxx].
*MOT:	you like the brush.
*MOT:	how about 
*MOT:	what’s this?
*MOT:	this is a tima.
%com:	noises from toy.
*MOT:	I don’t know what this is for.
*MOT:	maybe it’s a hat.
*MOT:	is it a hat?
*MOT:	is it a hat? (00:02:30) *CHI:	[xxx].
*MOT:	how about.
*MOT:	[xxx].
%com:	mother whispers.
*MOT:	look at those white flowers that go round and round.
*MOT:	round and round.
*MOT:	round and round.
(00:03:00) %com:	noises from running toy on floor.
*MOT:	that makes a neat sound doesn’t it?
*MOT:	can you do it again?
*MOT:	come over here thank you.
*MOT:	okay.
*MOT:	tima.
*MOT:	may I have one? *MOT:	tima and the brush.
*CHI:	[xxx].
(00:03:30) *MOT:	pricklyprickly.
*MOT:	does that one feel cool? *CHI:	[xxx].
*MOT:	yeah.
%com:	noises from toy.
*MOT:	it makes a great sound doesn’t it [xxx]?
(00:04:00) *MOT:	and tima.
*CHI:	[xxx].
*MOT:	yeah.
%com:	noises from toy.
*MOT:	do you want this one again?
*MOT:	that’s very good.
*MOT: 	it makes a great sound.
*CHI:	[xxx].
*MOT:	yeah.
*MOT:	all right let’s try 
*MOT:	do you want another toy? (00:04:30) *MOT:	do you want a different one?
*MOT:	you don’t want to give up the brush.
*MOT:	how about the car?
*MOT:	vroom.
%com:	noises from toy.
*CHI:	[xxx].
%com:	child cries.
*MOT:	oh you want the brush back.
*MOT:	okay here.
%com:	child cries.
*MOT:	okay.
%com:	noises from toy.
(00:05:00) *MOT:	good job.
*MOT:	it’s a car.
*MOT:	vroom.
*MOT:	vroom.
%com:	mother makes noises.
(00:05:30) *MOT:	there goes the car.
*MOT:	yeah there’s that zem again huh?
*MOT:	do you like that zem?
*MOT:	zem.
*MOT:	soft.
*CHI:	[xxx].
*MOT:	[xxx] okay.
*MOT:	all right Grayden look at this thing.
*MOT:	what’s this?
(00:06:00) *MOT:	it’s a manu.
*MOT:	a manu.
%com:	noises from toy.
*MOT:	oh.
*MOT:	I like manus don’t you?
%com:	mother hums.
*MOT:	do you see it goes round and round and round?
*MOT:	a manu.
*MOT:	round and round and round.
*MOT:	manu.
*MOT:	it’s a manu.
%com:	mother hums.
(00:06:30) *MOT:	it goes around and around.
*MOT:	round and round and round.
*MOT:	can you try?
*CHI:	[xxx].
*MOT:	do you want to try it? *MOT:	you can grab this one and go round and round and round.
*MOT:	round and round and round.
*MOT:	Grayden want to try?
